Node1	Node2	Pvalue	Cor
Ftrad_Otu_00108	BacV5_Otu_000004	0	-0.491056840753
Ftrad_Otu_00110	BacV5_Otu_000004	0	-0.540727780325
Ftrad_Otu_00113	BacV5_Otu_000004	0	0.513560502321
Ftrad_Otu_00125	BacV5_Otu_000004	0.001	-0.472934289945
Ftrad_Otu_00134	BacV5_Otu_000004	0	0.523324015601
Ftrad_Otu_00135	BacV5_Otu_000004	0	-0.443259738554
Ftrad_Otu_00145	BacV5_Otu_000004	0	-0.483194801382
Ftrad_Otu_00154	BacV5_Otu_000004	0	0.519363638864
Ftrad_Otu_00187	BacV5_Otu_000004	0.001	0.405589151772
Ftrad_Otu_00213	BacV5_Otu_000004	0.001	-0.474166803193
Ftrad_Otu_00222	BacV5_Otu_000004	0	-0.524805613323
Ftrad_Otu_00235	BacV5_Otu_000004	0	-0.490370093599
Ftrad_Otu_00300	BacV5_Otu_000004	0	-0.459264138437
Otrad_Otu_00003	BacV5_Otu_000004	0	0.531725315749
Otrad_Otu_00024	BacV5_Otu_000004	0	-0.543881495122
Ftrad_Otu_00153	BacV5_Otu_000005	0	-0.437076295636
BacV5_Otu_000007	BacV5_Otu_000006	0	-0.615871806232
BacV5_Otu_000008	BacV5_Otu_000006	0	0.659940692064
BacV5_Otu_000009	BacV5_Otu_000006	0	0.822202765048
BacV5_Otu_000010	BacV5_Otu_000006	0	-0.686731267505
BacV5_Otu_000012	BacV5_Otu_000006	0	0.812520049853
BacV5_Otu_000014	BacV5_Otu_000006	0	-0.603880306904
BacV5_Otu_000027	BacV5_Otu_000006	0	0.798658837996
BacV5_Otu_000031	BacV5_Otu_000006	0	-0.472604565803
BacV5_Otu_000040	BacV5_Otu_000006	0	0.753864238769
BacV5_Otu_000041	BacV5_Otu_000006	0	0.683005755706
BacV5_Otu_000042	BacV5_Otu_000006	0.001	-0.49409570422
BacV5_Otu_000043	BacV5_Otu_000006	0	0.532677808902
BacV5_Otu_000053	BacV5_Otu_000006	0.001	-0.460927659762
BacV5_Otu_000059	BacV5_Otu_000006	0	0.461907875692
BacV5_Otu_000067	BacV5_Otu_000006	0.001	-0.500566724528
BacV5_Otu_000075	BacV5_Otu_000006	0	-0.48521802724
BacV5_Otu_000080	BacV5_Otu_000006	0	0.748642973005
BacV5_Otu_000084	BacV5_Otu_000006	0	0.708737583283
BacV5_Otu_000085	BacV5_Otu_000006	0	-0.791712677069
BacV5_Otu_000086	BacV5_Otu_000006	0	-0.535810022299
BacV5_Otu_000092	BacV5_Otu_000006	0	0.503128293877
BacV5_Otu_000101	BacV5_Otu_000006	0.001	0.492697858894
BacV5_Otu_000107	BacV5_Otu_000006	0.001	0.466023411367
BacV5_Otu_000115	BacV5_Otu_000006	0	0.519261239188
BacV5_Otu_000118	BacV5_Otu_000006	0.001	0.476315673933
BacV5_Otu_000127	BacV5_Otu_000006	0	-0.516697756209
BacV5_Otu_000129	BacV5_Otu_000006	0	-0.708107334153
BacV5_Otu_000136	BacV5_Otu_000006	0	0.578942326238
BacV5_Otu_000143	BacV5_Otu_000006	0	0.394986892688
BacV5_Otu_000145	BacV5_Otu_000006	0	-0.477823428152
BacV5_Otu_000153	BacV5_Otu_000006	0	-0.523917702159
BacV5_Otu_000159	BacV5_Otu_000006	0	-0.64805901589
BacV5_Otu_000171	BacV5_Otu_000006	0	-0.44616141129
BacV5_Otu_000179	BacV5_Otu_000006	0	-0.529700739768
BacV5_Otu_000191	BacV5_Otu_000006	0	-0.444795544042
BacV5_Otu_000194	BacV5_Otu_000006	0.001	-0.422021966883
BacV5_Otu_000196	BacV5_Otu_000006	0	-0.59699229438
BacV5_Otu_000206	BacV5_Otu_000006	0.001	-0.439044694653
BacV5_Otu_000209	BacV5_Otu_000006	0	0.430907994233
BacV5_Otu_000225	BacV5_Otu_000006	0	-0.606658675459
BacV5_Otu_000247	BacV5_Otu_000006	0	-0.423856134063
BacV5_Otu_000253	BacV5_Otu_000006	0	-0.570123366581
BacV5_Otu_000261	BacV5_Otu_000006	0	0.542819970444
BacV5_Otu_000278	BacV5_Otu_000006	0	-0.575693212864
BacV5_Otu_000285	BacV5_Otu_000006	0	-0.558928723685
BacV5_Otu_000289	BacV5_Otu_000006	0	-0.470012135259
BacV5_Otu_000302	BacV5_Otu_000006	0	-0.453010559203
BacV5_Otu_000328	BacV5_Otu_000006	0	-0.420894917185
BacV5_Otu_000343	BacV5_Otu_000006	0	-0.427911431278
BacV5_Otu_000347	BacV5_Otu_000006	0	-0.494283991198
BacV5_Otu_000408	BacV5_Otu_000006	0.001	-0.479516686456
BacV5_Otu_000689	BacV5_Otu_000006	0	-0.427478228239
Ftrad_Otu_00001	BacV5_Otu_000006	0	0.677579394595
Ftrad_Otu_00002	BacV5_Otu_000006	0	0.636567646193
Ftrad_Otu_00003	BacV5_Otu_000006	0	0.782592327198
Ftrad_Otu_00004	BacV5_Otu_000006	0	0.677900125906
Ftrad_Otu_00005	BacV5_Otu_000006	0	0.656077209296
Ftrad_Otu_00006	BacV5_Otu_000006	0	0.898634135495
Ftrad_Otu_00007	BacV5_Otu_000006	0	-0.634604204993
Ftrad_Otu_00008	BacV5_Otu_000006	0	0.924124708389
Ftrad_Otu_00009	BacV5_Otu_000006	0	-0.597407743193
Ftrad_Otu_00010	BacV5_Otu_000006	0	-0.681851042728
Ftrad_Otu_00011	BacV5_Otu_000006	0	0.539676533579
Ftrad_Otu_00012	BacV5_Otu_000006	0.001	0.599728604591
Ftrad_Otu_00013	BacV5_Otu_000006	0	0.566800450294
Ftrad_Otu_00018	BacV5_Otu_000006	0	0.510274593525
Ftrad_Otu_00020	BacV5_Otu_000006	0	-0.452204963485
Ftrad_Otu_00022	BacV5_Otu_000006	0	0.6706695807
Ftrad_Otu_00023	BacV5_Otu_000006	0	0.588626782091
Ftrad_Otu_00026	BacV5_Otu_000006	0	0.463445473502
Ftrad_Otu_00030	BacV5_Otu_000006	0	0.588924476078
Ftrad_Otu_00032	BacV5_Otu_000006	0	0.617421106037
Ftrad_Otu_00037	BacV5_Otu_000006	0	0.659407685763
Ftrad_Otu_00039	BacV5_Otu_000006	0	0.6576282556
Ftrad_Otu_00042	BacV5_Otu_000006	0	0.539033610416
Ftrad_Otu_00043	BacV5_Otu_000006	0	0.717874400267
Ftrad_Otu_00049	BacV5_Otu_000006	0	0.709230678281
Ftrad_Otu_00052	BacV5_Otu_000006	0	-0.674217376027
Ftrad_Otu_00054	BacV5_Otu_000006	0	0.588617128774
Ftrad_Otu_00055	BacV5_Otu_000006	0	-0.554812939956
Ftrad_Otu_00062	BacV5_Otu_000006	0.001	-0.413038878122
Ftrad_Otu_00064	BacV5_Otu_000006	0	0.793880647795
Ftrad_Otu_00066	BacV5_Otu_000006	0	-0.526930278891
Ftrad_Otu_00072	BacV5_Otu_000006	0	0.503314657904
Ftrad_Otu_00079	BacV5_Otu_000006	0	-0.538310429758
Ftrad_Otu_00080	BacV5_Otu_000006	0	0.597752868699
Ftrad_Otu_00086	BacV5_Otu_000006	0	-0.444694450515
Ftrad_Otu_00091	BacV5_Otu_000006	0	0.829242056107
