ID	S78	S79	S80	S81	S84	S86	S87	S88	S89	S90	S91	S93	S94	S95	S96	S97	S98	S99	S103	S106	S107	S211	S220	S221	S223	S224	S225	S226	S212	S213	S214	S251	S252	S215	S216	S217	S218	S219
Ftrad_Otu_00023	0	0.000718436	0.011055366	0.001884144	0	0	0	0.000274783	0	0	0.000466732	0	0.000643558	0	0	0	0	0	0	0.000896377	0.00111215	0.000462279	1.00995E-05	0.002167108	0	0.000263467	3.60246E-05	0	4.12703E-05	0.000213876	0.000786859	0.000398448	0.000378408	6.87447E-05	0	0.000194061	0.000216541	0
Ftrad_Otu_00024	0.00461202	0.003580354	0	0.005628085	0.003433176	0	0.000455952	0.00246681	0.026893487	0.020614455	0.001398695	0	0.000214625	0.000481213	0.000362365	0.000383992	0.000706745	0	0	0.00357446	0.00111215	0	3.02979E-05	0.000157655	0.000802797	0	0	0	0.000123799	0	0	0	0.001252217	0	0	0	0.000227365	0.000104416
Ftrad_Otu_00028	0.190780169	0.141169339	0.043351421	0.001884144	0.046790296	0.005177939	0.000455952	0	0	0.005990364	0.048132599	0	0.000857866	0	0.000362365	0.131988199	0.002820104	0.011334544	0	0.000896377	0	0	1.00995E-05	0.001539061	0.000197749	0.017769692	0.000162087	0.005153272	0.000233813	0.000913098	0.000182587	0.000730208	0.002583163	2.74992E-05	7.83854E-05	9.70413E-05	0	0.013289062
Ftrad_Otu_00029	0.001542788	0	0.00079907	0	0.003433176	0.001948969	0.004538124	0.0043758	0	0.00300551	0.004182644	0	0.006181474	0.001442042	0.003969483	0.000192038	0.002116793	0.053927577	0.014437711	0.008881587	0.006630579	0	0	0.00014014	1.2362E-05	0.000387396	0	0	2.7514E-05	1.94476E-05	0	0.014375867	0.01458758	4.12481E-05	0	0	0	0
Ftrad_Otu_00030	0.005375951	0	0.046237109	0.001884144	0.004571563	0.01029487	0.005440086	0.006547277	0.002128899	0.005990364	0.003256642	0.004879765	0.003634285	0.003834855	0.013561653	0.005914051	0.019366657	0.008272526	0.014437711	0.012383981	0.019595556	0.013162186	0.000736648	0.009993379	0.003631606	0.00560666	0.006152697	0.009590394	0.006160696	0.003293648	0.007894836	0.007312748	0.002653719	0.006942967	0.003461569	0.003218495	0.00539209	0.005557016
Ftrad_Otu_00031	0	0	0	0	0	0.001948969	0.000455952	0.00191984	0	0	0	0.001225091	0.001286164	0.002879311	0.000362365	0.001725295	0.000706745	0.001042724	0.002439863	0.000896377	0.00111215	0.005482511	0.000222135	0.000157655	0.00029659	0.00131574	0	0.001906761	0.001825894	0.000262469	0.001663267	0.000398448	0.002571403	0.00024743	0.001057011	0	0.000627671	0
Ftrad_Otu_00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.95534E-05	0.00017166	0.000525293	0.000197749	0.000387396	0.00014408	0.000426705	6.87817E-05	9.72392E-06	0.000102715	0.000385172	4.73191E-05	0.000288655	0.000287344	0	0	0.000243598
Ftrad_Otu_00033	0	0	0	0	0	0	0.000455952	0	0.001065754	0	0	0	0.000214625	0.000481213	0	0.000192038	0.000706745	0	0	0	0.00222146	0.000594268	0	0.000595284	0	0.017323025	1.80127E-05	0	0	0.002346862	0	0	0.000141942	0	0	0	0.0005087	0
Ftrad_Otu_00035	0.002312132	0.026498089	0.090626288	0.003760149	0.00114741	0.002596686	0.000455952	0.00191984	0.038765602	0	0.00694886	0	0	0	0.000724428	0.007049462	0.001412341	0.001042724	0	0	0.00111215	0.000445777	0.00080722	0.000210193	0	0.00051129	0.001797579	2.03288E-05	0.000742266	0.000592761	0	0.001776909	0.000543858	0	0.004316199	0.000692677	0.000378876	0.002314453
Ftrad_Otu_00036	0	0	0.00079907	0.001884144	0.00114741	0	0.003634285	0.003285976	0	0.00300551	0.001863928	0	0.001714041	0.000481213	0	0	0.001412341	0.001042724	0	0	0	0.000396269	0.001602881	0.000367772	0.000469508	0.001037445	0.000216103	0.000487629	0.000481243	0.002791529	0.002276838	0.003269717	0.002312593	8.24923E-05	0.000287344	0.001204548	0.002903474	0.000011603
Ftrad_Otu_00037	0	0	0.00079907	0	0	0	0.003181659	0.003285976	0	0	0.000466732	0	0.000429145	0.000481213	0.000724428	0	0.000706745	0	0	0	0	0.002405066	0.000827382	0.001469222	0.002293293	0.001562964	0.001025532	0	0.001058032	0.001349541	0.006221555	0.000650609	0.000307482	0.006103175	0.000731048	0.001287497	0.000865517	0.002002721
Ftrad_Otu_00038	0.001542788	0.001435686	0	0	0.002291797	0.002596686	0.000911426	0.00191984	0.001065754	0.00300551	0.018736281	0	0.001286164	0.00192166	0.001086189	0.001150958	0	0.00621912	0	0.0026836	0.006630579	4.95534E-05	0.000897939	0.003837473	0	0.003689445	0	0.001015277	0.000165058	0.000495642	0.000285258	0.000902623	0	0.001838606	0	0	0.00054115	0.000162414
Ftrad_Otu_00039	0.001542788	0	0.00079907	0	0	0.002596686	0.000455952	0.000823828	0.003189447	0.001505355	0	0.010903363	0.001500155	0.000481213	0.001808809	0.000383992	0.000706745	0.001042724	0.002439863	0.001790908	0.00111215	0.007938594	0.020187318	0.002811656	0.014395536	0.004457347	0.003069359	0.001238319	0.002578725	0.006255895	0.008924792	0.000265672	0	0.006238735	0.004109171	0.008280897	0.009109084	0.003685722
Ftrad_Otu_00041	0.003080116	0.031207758	0.001596673	0.001884144	0.006839425	0.00388923	0.000911426	0.010589762	0.011581873	0.022050141	0.000466732	0	0	0	0.002169669	0.000192038	0	0	0	0.001790908	0	0	0	0	2.47236E-05	9.30066E-05	0	0	5.50262E-05	0	0	0.001551882	0.001405542	4.12481E-05	0	0	1.08296E-05	0
Ftrad_Otu_00042	0.001542788	0	0	0	0	0.000650629	0.000455952	0.001646096	0.001065754	0	0	0.001225091	0.000857866	0.000961893	0.000724428	0.000959343	0	0.001042724	0.003654674	0.00357446	0.008818465	0.001648742	0.000383617	0.00253305	0.001702634	0.00082087	0.00376636	0.000507935	0.00482942	0.001465851	0.001560921	0.000610803	0.001982975	0.01142589	0.000939693	0.004757135	0.009829623	0.002510614
Ftrad_Otu_00043	0	0	0	0	0	0	0	0.000274783	0	0	0	0	0.020339978	0.00192166	0.005761869	0	0	0	0.006074148	0.005350718	0.00111215	0.004813223	0.004311274	0.001154807	0.003055041	0.003089538	0.004176889	0	0.004951851	0.001339847	0.002537911	0.000119573	0.000307482	0.00219445	0.005839996	0	0.004514122	0.000846205
Ftrad_Otu_00044	0	0	0	0	0	0.001300284	0	0	0	0	0	0	0.000214625	0.000481213	0	0	0.000706745	0.003120692	0.002439863	0.000896377	0	0.001385363	0.000131275	0.114584393	9.88859E-05	0.026564152	0	2.03288E-05	0.000110045	0.000174997	0.00055893	0.000199269	0	1.37498E-05	0	0	0	8.12145E-05
Ftrad_Otu_00045	0	0	0.00079907	0.001884144	0	0.000650629	0	0.00109809	0	0	0	0	0.000214625	0.000481213	0.000724428	0	0.000706745	0.001042724	0	0	0.004431615	0.00019818	0	0.032497434	0.000123604	0.069147029	0	0	0.00028881	0.000408217	0	0.000902623	0	0	0	0	0	0.002464466
Ftrad_Otu_00047	0.00461202	0.002866641	0.010274962	0.001884144	0.002291797	0	0.000455952	0.00109809	0	0.001505355	0.000932964	0	0	0	0	0	0	0.001042724	0	0	0	0.000412773	0.000181755	1.752E-05	0.00014832	9.30066E-05	0.000342113	0	0.000467501	0.000388787	0.00055893	0.000385172	0.004003828	0.000261172	0	0.000498839	0.000162416	4.64101E-05
Ftrad_Otu_00048	0	0	0.00079907	0	0.00114741	0.000650629	0	0.021712545	0	0.001505355	0.000932964	0	0	0	0.006476757	0.000192038	0.001412341	0.001042724	0	0	0.00222146	4.95534E-05	4.03967E-05	0.00014014	0.000284236	0.000433861	0	0	0.002017648	0	0	0.000398448	0.000106461	0	0	0	0.000140764	0.000185611
Ftrad_Otu_00051	0.003846743	0.001435686	0	0.001884144	0.005706974	0.002596686	0.004538124	0.002740037	0	0.008954843	0	0.003664954	0.002141496	0.001442042	0.002169669	0.002489898	0.002116793	0.001042724	0	0.004463497	0.00222146	0.001055915	0.000585384	0.000227705	0.00043246	0.00113023	0.000540055	0.000873281	0.001126646	0.003081284	0.003818298	0.001684265	0.00029566	0.000522187	0.016183256	0.000540383	0.001351613	0.000973573
Ftrad_Otu_00052	0	0	0	0	0	0.001300284	0.001366423	0	0	0	0	0.001225091	0.002995146	0.008108974	0.00719047	0.00534523	0.002820104	0.005188765	0.020314587	0.00357446	0.00111215	0	0	0	0	0.000449348	0	0	0	0	0	0.000716943	0.011384135	0	0	0	0	0
Ftrad_Otu_00056	0	0	0	0	0	0	0	0.00109809	0	0.001505355	0	0	0.002781891	0.000961893	0	0	0.001412341	0	0.001221645	0.000896377	0	0	0	0.000227705	0	0.005744373	0	0	0	0	0.000308071	0.001406215	0.000555674	0	0	0	0	0.000127616
Ftrad_Otu_00057	0	0	0	0	0	0	0	0	0	0	0	0	0.000429145	0	0.003610116	0.001150958	0.000706745	0.001042724	0	0	0.00222146	0.00094055	0	0.000805189	0	0.007210606	0	0.003341444	0.000783466	0.000340208	0.000193996	0	0.000130115	0	0	0	0.000562782	0.004777334
Ftrad_Otu_00058	0.000772079	0	0.007139248	0.009340026	0	0	0.000455952	0.001646096	0	0	0	0	0.000214625	0	0	0.002298873	0	0	0	0	0	0.001484149	0	7.00758E-05	0.000173036	0.000170497	0	0	0.000961954	0	0.00132202	0	0.000319304	1.37498E-05	0	0.000595769	0.000173241	0.004341018
Ftrad_Otu_00060	0	0	0	0	0	0.001300284	0.002274989	0.000823828	0	0	0	0	0.001072068	0	0	0.000192038	0	0.008272526	0	0	0	0.000115616	0	0.000105109	0.000185393	0.000124004	0	0.000365773	0.000412527	0.000544204	0.000114126	0.00014614	0.001134237	0	0	0.000138624	2.1659E-05	0.000127616
Ftrad_Otu_00061	0	0	0	0.001884144	0	0	0	0.000274783	0	0	0	0.001225091	0.010812869	0.00240075	0.014614488	0.007616056	0	0.00415596	0.004866096	0.008001558	0.0077259	0	5.04952E-05	0	0.000160678	0.000170497	0	0.000304832	0.0003438	0	1.14139E-05	0.000398448	4.73191E-05	1.37498E-05	0	0.000194061	0	0.001320749
Ftrad_Otu_00062	0	0	0	0	0	0	0	0	0	0.001505355	0	0.02270557	0.064517207	0.107751297	0.0774862	0.012868926	0.118705164	0.00621912	0.017973371	0.036965254	0.09017663	0	0	0	0	0	0	0	0	0	0	0	0.000283837	0	0	0	0	0
Ftrad_Otu_00064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00047878	0.000141372	0.000262726	0.000383057	0.000356417	0.000647986	0.001866278	0.000316306	0.001126525	0.001185445	0.00046482	0.000791915	0.002563673	0.000235114	0.000706519	0.000724988	0.000382735
Ftrad_Otu_00067	0.000772079	0	0.002392813	0	0.003433176	0	0	0.000549392	0.141684695	0.001505355	0.001398695	0	0.001072068	0.002879311	0.002169669	0.002107765	0.003522278	0.002082951	0	0.011511027	0.00222146	0	0	0	0	0	0	0	0.000838393	0	0	0.000172705	0	0.000590849	0	0	0	0
