ID	S54	S56	S109	S110	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S195	S196	S197	S198	S199	S201	S203	S204	S205	S206	S207	S208	S209	S210	S243	S244	S245	S246	S247	S248	S249	S250	S253	S254	S255	S256
BacV5_Otu_000012	0.000519926	0.000202563	0.000577904	0.00014315	0.006898874	0.003983704	0.002093236	0.001295919	0.002684152	0.001558009	0.002740702	0.000834717	0.000863237	0.000722399	0.000722675	0.002137909	0.001159762	0.001890497	0.001275185	0.019957464	0.093320155	0.007457645	0.018594369	0.025620442	0.024183359	0.017612677	0.030447499	0.024902753	0.032908876	0.025713858	0.019647933	0.029278756	0.017881742	0.004671262	0.004421878	0.00262991	0.003284077	0.002940654	0.004857899	0.004039633	0.0027989	0.00394958	0.004619613	0.002410465	0.003765622
BacV5_Otu_000013	0.004348157	0.001314972	0.005173655	0.001096283	0.004438275	0.005303526	0.004328468	0.003393574	0.002951658	0.002800404	0.004209333	0.001886809	0.005188026	0.003184714	0.001771696	0.002577758	0.002893619	0.005370323	0.007083977	0.012324219	0.001783862	0.017499339	0.010416206	0.007171842	0.0051198	0.00662631	0.008103983	0.007557428	0.005555603	0.005605135	0.005875337	0.006228747	0.004169259	0.001771428	0.001634356	0.000886173	0.000906354	0.000771443	0.001539952	0.00293155	0.001209582	0.004317135	0.003907879	0.002562577	0.001708196
BacV5_Otu_000014	0.017537277	0.003430783	0.001299203	0.001952317	0.020000565	0.01342684	0.02433143	0.020387701	0.015168781	0.005351674	0.001372513	0.0065033	0.002137688	0.009819872	0.008045435	0.001607242	0.003721979	0.004010821	0.006758123	0.0055305	0.003984726	0.010298764	0.006507237	0.022582791	0.005359958	0.000619375	0.00085739	0.005618958	0.004122072	0.000245212	0.000540306	0.001258044	0.002562693	0.016828478	0.013495787	0.011858842	0.001630078	0.013760708	0.007168281	0.007456833	0.002607394	0.0168247	0.015504891	0.002745041	0.031411032
BacV5_Otu_000015	0.037076987	0.011496555	0.001010827	0.003422654	0.001702348	0.000740485	0.01251016	0.001403738	0.002416482	0.002490138	0.00900016	0.001755437	0.005119714	0.024774958	0.01004175	0.000804365	0.001232145	0.002607265	0.000897742	0.019271001	0.002134747	0.015336942	0.016429735	0.002540128	0.002454161	0.006154357	0.006442393	0.004500968	0.005704271	0.000539283	0.000635584	0.001283681	0.003687913	0.000480476	0.002007061	0.008369415	0.002773513	0.004471787	0.016343858	0.003301225	0.009529758	0.002391088	0.002123424	0.001740539	0.003847717
BacV5_Otu_000016	0.000623837	0.002122211	0.020610625	0.000762924	0.000917478	0.003542871	0.005694413	0.00729293	0.03091352	0.070046169	0.078087171	0.01167097	0.026481399	0.001026207	0.012156825	0.000849637	0.00181077	0.041368426	0.007316581	6.73238E-05	0.00042779	0.00632027	0.000632811	0.001285151	0.000516222	0.001546785	0.001124977	0.000203549	0.000338734	0.016744566	0.012816228	0.009158913	0.000364137	0.006569501	0.000420851	0.000116705	0.000241879	0.00035834	0.001596882	0.010847355	8.25786E-05	0.00011416	8.29255E-05	0.000244707	0.010068912
BacV5_Otu_000017	0.000104035	0	0.000722259	0	0.000393442	0.000592489	0.000715898	0.002802953	0.000179461	0.003420271	0.00189925	0.000659121	0.008996458	0.000950275	0.005261071	0.007866037	0.007661997	0.013607291	0.002828676	0.020107483	0.001708636	0.000174389	0	0.001946117	0	0.001237868	0	0.002571265	0	0	0	0	0.000222565	0.000221824	0.002100187	0	0	0	0.000228486	0.001189849	0	0.000684512	0.001820713	0.000152958	0.000882488
BacV5_Otu_000022	0.000104035	0	0.000289048	0	0.022623954	0.023231385	0.005037272	0.008461245	0.00632587	0.022654726	0.043722427	0.007887369	0.008386637	0.005633148	0.007496451	0.017001064	0.028205606	0.018531769	0.014603418	0.000874396	0.000327171	0.000326922	0.001116104	0.001033719	0.00027337	0.000140845	0.000884156	0.000158324	0.000752384	0.001077898	0.000635584	0.002997885	4.04748E-05	0.000812801	0.002146743	7.00268E-05	0	5.51485E-05	0.000199932	0.002191254	0.000412736	5.70839E-05	8.29255E-05	0.000183543	2.76049E-05
BacV5_Otu_000025	0.009264751	0.002827317	0.002163185	0.003043688	0.000655539	0.000444443	0.001634608	0.000432403	0.00116517	0.001946639	0.000422774	0.004940932	0.007300391	0.007918421	0.005877759	0.00185572	0.000290231	0.000706571	0.000850539	0.001747035	0.001257004	0.009787454	0.001394683	0.001086664	0.000379635	0.000675638	0.005437081	0.000316591	0.000959061	0.000833156	0.000413235	0.001821697	0.000647144	0.024969425	0.001541129	0.003093726	0.006513714	0.006133509	0.003074463	0.003596739	0.004000722	0.005615222	0.004783693	0.008183612	0.010931196
BacV5_Otu_000027	0.001143018	0.000405031	0.0004335	0.000190857	0.001440882	0.001627404	0.000715898	0.002265327	0.000806989	0.000545939	0.000634007	0.001624025	0.000552669	0.000570414	0.000886751	0.001516851	0.000870112	0.001305589	0.000756117	0.004665438	0.001231899	0.002738529	0.003265806	0.011160215	0.006932703	0.007153182	0.005569492	0.007357298	0.004308512	0.008645378	0.0073162	0.005137522	0.002924689	0.000517413	0.000934671	2.33435E-05	0.000876173	0.000633785	0.002194203	0.001189849	0.001566314	0.000570502	0.001765651	0.001161134	0.00118543
BacV5_Otu_000028	0.010992783	0.014740141	0.009721283	0.001334239	0	0	0	0	8.97395E-05	0	0	0	3.45625E-05	0	0	0.000124717	0	4.00253E-05	0.000472727	0	0	2.18025E-05	0	0	0	0.000112679	0	0	1.88255E-05	0.003517761	0	0.010792215	0	0	0	0	0.000604446	0.000633785	0.00341473	0	0	2.85429E-05	0.007155925	0.014916995	0
