ID	S22	S23	S24	S25	S26	S27	S28	S15	S16	S61	S18	S21	S63	S72	S73	S75	S76	S64	S65	S66	S67	S68	S69	S70	S71	S227	S228	S229	S230	S231	S232	S234	S235	S236	S237	S238	S239	S240	S241	S242
BacV5_Otu_000045	0.001175676	0.000877977	0.00128839	0.001041974	0.000526817	0.001611858	0.002011852	0.002689733	0.001444974	0.001913443	0.004326266	0.000529563	0.000864022	0.000890201	0.001147518	0.004132809	0.001030355	0.0028076	0.0152436	0.001644109	0.002227482	0.002176598	0.003365405	0.000807177	0.001152805	0.000664364	0.002038595	0.002485572	0.005228709	0.001958981	0.003254497	0.00137762	0.000941445	0.004610388	0.003228567	0.00107387	0.001453078	0.000346742	0.002010885	0.002837609
BacV5_Otu_000046	0.00023539	0.000270336	0.000537294	0.00010431	6.5887E-05	0.000403526	0.000212213	0.000192677	0.00016079	0.000225549	0.00305253	0.000317815	6.17729E-05	9.90014E-05	4.10351E-05	0.000607263	0.000206267	9.96946E-05	0.000789483	0.00050104	0.000191375	0.000192492	0.000248869	0.000706361	0.000230806	0.000132954	4.98358E-05	9.96965E-05	0.000239039	0.000109064	0.000538137	8.62294E-05	0.000607617	0.0004118	0.001685105	0.000386899	0.000100368	5.78096E-05	0	0
BacV5_Otu_000048	0.005730642	0.001215188	0.002679846	0.012544415	0.002169012	0.006511284	0.002117481	0.007735851	0.004002005	0.001463979	0.004228418	0.000846991	0.003077933	0.001753929	0.001024715	0.005034771	0.003697894	0.001567537	0.007546326	0.005267691	0.00504317	0.003770107	0.000888164	0.001143058	0.00069205	0.001636929	0.00014949	0.000265806	0.003097295	0.003205942	0.000824871	0.005824944	0.000303915	0.000977388	0.000952072	0.001202557	0.001453078	0.008813236	0.002623469	0.002342364
BacV5_Otu_000050	5.88595E-05	0.001080335	0.000214997	0.000312855	0	0.000504349	0.000388979	0.002498161	0.000803357	0.000450981	0.004717434	0.000741207	0.002464089	0.0002722	0.000123094	0	0.000206267	0.00017445	2.63392E-05	3.58078E-05	0.000446411	0.001281673	0.000497596	0.001847564	6.59571E-05	0.00203417	4.98358E-05	0.000830106	0.006486851	0.000817316	0.000251214	0	0.001578041	0	0.000190582	0.000601695	5.01871E-05	5.78096E-05	0.006722185	0.000142322
BacV5_Otu_000052	0.001586412	0.000202768	0.00118117	0.002600262	0.000461	0.000806677	0.000742293	0.000866375	0.000883611	0.000901494	0.00246339	0.000317815	0.000679019	0.00019798	0.000410176	0.001516569	0.00092743	0.002063988	0.001052325	0.000429498	0.00063759	0.000481071	0.001278382	0.003520374	0.000593254	0.00199005	0.004561126	0.00053145	0.000398326	0.001633097	0.000107681	0.001893104	0.001971656	0.002823271	0.003066355	0.002743824	0.00384754	0.001212388	0.001118308	0.004038001
BacV5_Otu_000053	0.000294218	0.000743019	0.002572969	0.000625484	0.000329335	0.004418294	0	9.63493E-05	0.001765427	0.000450981	0.003836809	0.000211903	0.006316899	0.004775761	0.003229882	0.004032475	0.00082448	0.003129437	0.002128319	0.001893755	0.000733148	0.001505577	0.006774962	0.001545773	0.02315116	0.000620104	0	0	0.003413721	0.00027261	0	0	0.005948298	0.000205949	5.44604E-05	0.000129005	0.000501611	5.78096E-05	0.000279847	0.000853231
BacV5_Otu_000055	5.88595E-05	0.000472977	0.00118117	0.001458064	0.000131764	0.000100917	0.000424323	0.000770197	0.000562506	0.000788909	0.001971829	0.000317815	0.000370506	0.001556657	0.000738038	0.000303738	0.003493279	0.002014368	0.001367526	0.000286379	0.000510147	0.000384899	0.003294822	0.00271823	0.006091554	0.000177263	0.000697182	3.32347E-05	7.96944E-05	0.001143813	0.000107681	0.001033625	0.000243149	0.001080143	0.002335652	0.000558744	0.000100368	5.78096E-05	0	0.000284597
BacV5_Otu_000056	0.001527759	0.000337893	0.000966651	0.002807612	0.00092151	0.000806677	0.000706975	0.002689733	0.002485584	0.001126575	0.00275806	0.000317815	0.00129539	0.000519506	0.001229368	0.002625364	0.001647397	0.002113601	0.001446291	0.001001503	0.003811576	0.001569529	0.001278382	0.001512227	0.001087013	0.000265867	0.00064742	0.000265806	0.000159374	0.000490574	0.001469331	0.000258637	0.000759389	0.000617554	0.003066355	0.00047283	0.001653121	0.000635483	0.000615425	0.001137269
BacV5_Otu_000057	0.000353037	0.000202768	0.00118117	0.001250069	0.000197631	0.000605148	0.000247572	0.000866375	0.000482192	0.002025736	0.001085613	0.001058481	0.001726329	0.001038391	0.002740812	0.004934645	0.001441814	0.007316272	0.00635392	0.002357002	0.002513046	0.003069684	0.004633933	0.002450518	0.002204128	0.001018276	0.001194485	0.000498254	0.001432266	0.001035008	0.000394699	0.00283657	0.001759754	0.002567367	0.001332318	0.002059492	0.00115284	0.001212388	0.000783118	0.001137269
BacV5_Otu_000058	0.000529448	0.000270336	0.002679846	0.002392813	0.000197631	0.000403526	0.000247572	0.000770197	0.000241163	0.000450981	0.002365122	0.000317815	0.000185292	0.000123748	0.000205137	0.000404937	0.000103146	9.96946E-05	0.003149357	0.000107414	0.000860526	0.000416959	0.000106676	0.000201935	0	0.000708619	0.000348731	0.000631025	0.000557554	0.000653976	0.001683939	0.000430976	0.000546894	0.000566124	0.001413756	0.00047283	0.001403053	0.001154732	0.000335795	0.002059113
BacV5_Otu_000059	0.001234376	0.000270336	0.000859351	0.00166596	0.000461	0.001008112	0.000777609	0.000673997	0.001044074	0.000901494	0.001381219	0.000423702	0.001172186	0.000296937	0.000615119	0.001718379	0.000206267	0.002683753	0.001262485	0.000715595	0.000924201	0.000769457	0.000462072	0.000403776	0.000395592	0.003267712	0.001790497	0.002386422	0.003255537	0.002284621	0.002291419	0.00137762	0.001790032	0.002311312	0.000789008	0.008728333	0.001653121	0.004486197	0.000615425	0.002554681
BacV5_Otu_000060	0.00199676	0	0.000537294	0.000833779	0.000131764	0.00411847	0	0.03239112	0	0	9.88043E-05	0.000105964	6.17729E-05	9.90014E-05	0.002659246	0.000303738	0.000103146	0.000149533	0.000920924	0.000143213	3.19018E-05	0	0.022285285	0.0019146	0.000197841	0.009946946	0	0	0	5.45356E-05	0	0	0	0	0.000272234	8.60074E-05	0	0	0	0.00064008
