ID	S78	S79	S80	S81	S84	S86	S87	S88	S89	S90	S91	S93	S94	S95	S96	S97	S98	S99	S103	S106	S107	S211	S220	S221	S223	S224	S225	S226	S212	S213	S214	S251	S252	S215	S216	S217	S218	S219
Ftrad_Otu_00099	0	0	1	1	1	0	2	2	0	1	0	1	1	0	2	1	0	1	1	1	0	53	5	34	24	21	44	31	94	57	15	25	50	33	0	0	32	38
Ftrad_Otu_00105	0	0	0	1	0	0	0	0	0	0	0	41	65	130	59	172	108	15	12	30	62	7	0	0	0	8	0	0	5	18	0	0	0	0	0	0	0	0
Ftrad_Otu_00107	0	1	2	0	2	2	3	4	0	0	2	0	1	0	0	1	0	0	0	0	0	39	2	10	23	30	45	0	128	47	208	0	56	57	45	0	17	21
Ftrad_Otu_00109	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	12	14	21	0	3	59	0	53	73	0	0	0	4	0
Ftrad_Otu_00111	0	1	0	0	1	0	0	1	0	4	0	1	3	0	4	20	0	1	0	1	2	6	3	61	0	6	0	0	7	85	0	106	81	0	0	0	191	18
Ftrad_Otu_00112	0	2	0	0	0	2	0	2	1	0	0	0	2	0	0	2	0	3	0	1	0	15	0	36	0	186	1	53	60	39	26	71	45	0	0	0	32	66
Ftrad_Otu_00114	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	14	0	3	13	19	40	0	6	0	28	0	8	0	0	0	0	1
Ftrad_Otu_00118	0	0	0	0	0	0	1	2	0	1	3	10	23	37	12	80	0	5	1	7	4	9	0	0	0	8	0	8	0	13	12	21	0	0	0	0	4	0
Ftrad_Otu_00125	0	1	0	0	1	0	0	20	0	1	2	0	16	15	8	66	3	12	0	6	6	0	0	0	0	6	8	0	0	0	0	26	11	0	0	0	0	0
Ftrad_Otu_00126	0	0	0	0	0	1	0	0	8	0	0	0	11	2	1	3	2	0	0	1	1	0	10	6	0	136	5	21	18	13	39	8	7	31	0	8	55	52
Ftrad_Otu_00128	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	0	0	1	0	0	105	13	11	0	19	0	5	5	54	87	13	20	43	0	14	51	0
Ftrad_Otu_00130	0	0	0	0	0	0	0	4	0	0	0	0	0	1	2	3	0	1	0	0	0	17	79	2	2	4	0	0	73	7	30	27	53	0	37	112	19	0
Ftrad_Otu_00131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	4	8	42	22	13	0	112	19	12	6	15	22	9	10	101	0
Ftrad_Otu_00132	0	1	3	0	2	0	0	0	18	1	0	0	20	0	0	46	3	0	4	0	5	8	2	21	0	20	0	0	13	135	15	0	0	0	0	0	8	19
Ftrad_Otu_00134	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	3	0	0	0	12	5	18	371	11	63	6	70	14	7	17	1	237	29	0	22	39
Ftrad_Otu_00135	0	1	1	0	0	3	0	2	1	0	37	0	0	0	0	1	1	0	0	0	1	0	0	0	0	7	0	0	29	3	0	59	0	8	0	0	12	19
Ftrad_Otu_00136	0	0	0	0	1	0	3	2	0	0	2	0	4	0	0	1	0	1	0	0	0	8	5	18	40	54	20	0	38	100	52	12	21	38	0	0	44	4
Ftrad_Otu_00137	1	0	0	0	1	0	1	0	0	0	0	0	5	3	7	19	7	1	1	3	8	25	2	0	0	5	38	0	4	3	0	0	13	0	0	26	0	21
Ftrad_Otu_00138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588	0	0	279	11	183	0	0	0	0	447	0	47	21	42
Ftrad_Otu_00142	9	49	40	75	97	280	105	260	17	38	228	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	26	0	0	0	0	0
Ftrad_Otu_00146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	197	0	642	0	0	0	0	479	0	45	0	0
Ftrad_Otu_00149	7	1	5	6	25	33	46	76	3	8	58	0	3	3	3	5	1	9	0	0	0	8	0	2	4	9	31	0	15	6	4	0	77	0	0	0	2	4
Ftrad_Otu_00151	1	0	1	2	10	22	34	23	1	5	14	0	8	1	3	13	7	1	0	0	0	2	0	0	0	3	0	0	5	11	7	11	90	0	0	0	0	0
Ftrad_Otu_00156	4	0	0	5	8	13	42	22	1	15	6	0	0	0	0	2	2	0	0	1	2	6	4	10	0	8	0	0	0	18	36	0	29	0	0	21	0	6
Ftrad_Otu_00158	0	0	0	0	0	0	2	2	0	1	1	0	2	0	0	1	0	1	0	0	0	0	0	13	0	5	0	0	3	20	11	27	32	0	0	28	26	14
Ftrad_Otu_00163	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	42	1	23	0	3	0	0	44	22	0	9	25	28	0	0	21	58
Ftrad_Otu_00164	0	0	0	0	0	0	0	0	2	0	0	0	2	11	7	40	0	0	0	3	2	0	0	301	0	2	0	62	6	0	0	17	0	0	0	0	0	0
Ftrad_Otu_00165	0	0	0	0	0	0	0	1	0	0	0	0	4	1	2	3	3	0	0	3	2	1	0	0	0	17	0	0	16	0	36	32	28	0	0	8	0	15
Ftrad_Otu_00166	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	46	0	0	11	28	5	3	42	0	0	45	0	0	0	9	0
Ftrad_Otu_00171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	6	341	183	235	15	5	11	20	10	10	75	150	25	6	36
Ftrad_Otu_00176	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	0	1	0	1	0	20	15	419	22	3	12	23	18	0	3	1	0	132	1	27
Ftrad_Otu_00180	2	0	1	0	0	0	2	4	0	1	3	0	0	0	3	1	0	0	0	0	1	27	8	16	102	0	0	0	109	0	27	0	0	0	0	21	0	102
Ftrad_Otu_00185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	18	10	7	0	13	4	29	4	13	0	8	17	0	0	0	20	11
Ftrad_Otu_00188	0	0	0	0	1	1	0	0	0	1	0	0	0	4	0	2	1	2	0	1	0	9	0	0	0	32	6	0	15	9	16	0	0	51	0	0	609	3
Ftrad_Otu_00197	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	14	14	7	0	26	39	0	0	0	26	0
Ftrad_Otu_00202	0	0	0	0	0	0	0	0	0	0	10	0	22	13	5	28	93	0	0	2	3	0	0	0	0	0	0	0	0	0	0	19	11	0	0	0	0	0
Ftrad_Otu_00205	0	0	0	0	0	0	0	2	0	0	0	1	2	3	4	8	2	1	0	0	2	2	5	12	0	36	50	33	24	9	0	19	61	1	97	0	15	8
Ftrad_Otu_00206	0	1	0	0	2	7	19	12	2	2	3	0	0	2	0	5	2	0	0	0	3	4	0	3	506	15	10	0	3	21	22	0	0	24	0	0	5	6
Ftrad_Otu_00210	4	1	0	2	11	17	80	43	5	6	33	0	7	0	4	1	6	5	0	3	0	8	0	0	12	5	32	0	10	5	0	11	48	0	0	0	0	0
Ftrad_Otu_00214	0	1	0	1	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	21	48	12	0	0	588	0
Ftrad_Otu_00222	2	0	2	0	3	0	0	7	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	16	0	23	0	54	15	14	0	23	0	0	0	0	0	0
Ftrad_Otu_00233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	27	5	12	14	0	12	5	0	0	1	104	13	20	7	40
Ftrad_Otu_00235	13	13	13	14	6	0	9	4	1	19	4	6	4	9	10	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ftrad_Otu_00238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	5	38	0	0	78	9	104	7	0	0	0	345	41	32	11	7
Ftrad_Otu_00243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	114	66	18	4	0	0	17	10	7	0	87	16	12	119	45
Ftrad_Otu_00255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	11	22	0	155	3	2	31	71	0	0	0	4	34	45	0	39
Ftrad_Otu_00258	2	1	8	7	2	11	23	27	3	6	17	0	2	0	0	1	0	0	1	0	0	4	1	2	0	2	16	0	0	0	0	3	157	0	0	0	0	3
Ftrad_Otu_00262	0	0	1	0	2	3	0	0	1	0	0	0	0	0	1	0	1	3	0	0	1	27	0	4	11	45	0	0	9	0	9	28	8	0	0	0	0	24
Ftrad_Otu_00265	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	4	0	26	17	30	0	23	0	39	0	0	0	15	0	40	6	22
Ftrad_Otu_00267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	12	0	15	0	52	4	0	0	4	47	0	114	0	0	0	37	0
Ftrad_Otu_00279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	115	0	60	1	0	109	14	0	5	0	41	0	4	32	9
Ftrad_Otu_00280	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	19	0	9	0	9	0	0	26	21	3	0	48	4	24	0	4	0
Ftrad_Otu_00282	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	1	0	0	1	12	0	20	0	24	6	0	16	9	0	6	0	0	0	0	0	37
Ftrad_Otu_00299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	1	47	180	16	0	12	0	4	0	16	0	0	33	1	17
Ftrad_Otu_00307	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	31	0	0	26	0	38	0	0	0	0	0	0	11
Ftrad_Otu_00325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	4	0	6	12	0	15	64	43	0	0	0	22	0	0	0
Ftrad_Otu_00344	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	1	0	2	0	10	0	16	0	0	0	0	0	0	22	0	12	25	0	0	0	20	1	0
Ftrad_Otu_00367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	1	0	8	0	18	42	0	42	0	0	0	0	0	11	0
Ftrad_Otu_00388	0	0	0	0	0	0	0	0	0	0	0	1	4	1	2	3	1	0	0	0	0	0	2	2	0	61	22	0	12	0	0	0	0	0	0	12	41	47
Ftrad_Otu_00410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	79	0	33	0	0	0	0	133	0	0	0	17
Ftrad_Otu_00439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	2	23	0	0	75	0	0	0	0	31	69	0	7	1
Ftrad_Otu_00448	6	0	0	5	6	18	49	29	2	11	18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ftrad_Otu_00464	0	0	0	0	2	5	1	8	1	1	5	0	2	1	0	0	0	1	0	0	0	10	4	3	0	26	5	7	31	12	31	0	0	12	0	13	14	16
Ftrad_Otu_00473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	10	0	15	0	4	47	37	0	0	5	0	0	49	0
Ftrad_Otu_00526	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	27	2	0	33	31	16	0	0	0	0	0	4	21
Ftrad_Otu_00568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	33	0	0	14	0	24	0	16	9	2	3
Otrad_Otu_00001	6	394	8	4	9	162	38	35	33	55	276	414	436	494	698	227	131	118	59	114	96	131	682	8	399	73	557	879	166	1065	426	52387	4878	685	210	555	456	458
Otrad_Otu_00002	6	0	26	34	12	26	88	61	140	133	25	0	37	0	3	4	2	1	0	2	0	101	145	261	168	26	84	750	145	309	540	1	851	232	272	109	174	291
Otrad_Otu_00003	0	0	0	0	5	0	1	1	0	3	27	29	32	21	37	21	14	19	8	14	14	16	0	19777	522	10	6	0	0	259	0	4	983	154	0	149	0	55
Otrad_Otu_00004	0	0	0	0	0	0	0	0	0	0	0	0	20	166	0	0	0	0	7	0	5	13	82	6	0	797	12390	56	3930	70	54	0	0	4119	878	8798	1390	0
Otrad_Otu_00005	5	0	725	0	0	0	0	0	0	0	0	25	1176	18	0	0	0	7	0	0	0	1353	0	1983	0	14	3255	0	323	1174	0	2	623	403	429	0	171	1242
Otrad_Otu_00008	0	0	0	0	0	1	18	718	0	0	0	10	2	342	3	169	211	35	0	29	14	27	35	150	0	20894	155	0	0	116	122	0	0	0	0	0	0	0
