BacV5_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
BacV5_Otu_000884	195	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Erythrobacteraceae(89);f__Erythrobacteraceae_unclassified(80);f__Erythrobacteraceae_unclassified(80);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	f__Erythrobacteraceae_unclassified	f__Erythrobacteraceae_unclassified
BacV5_Otu_000885	195	k__Bacteria(100);p__Bacteroidetes(100);p__Bacteroidetes_unclassified(100);p__Bacteroidetes_unclassified(100);p__Bacteroidetes_unclassified(100);p__Bacteroidetes_unclassified(100);p__Bacteroidetes_unclassified(100);	k__Bacteria	p__Bacteroidetes	p__Bacteroidetes_unclassified	p__Bacteroidetes_unclassified	p__Bacteroidetes_unclassified	p__Bacteroidetes_unclassified	p__Bacteroidetes_unclassified
BacV5_Otu_000886	194	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Pseudonocardiaceae(100);g__Pseudonocardia(97);g__Pseudonocardia_unclassified(97);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Pseudonocardia	g__Pseudonocardia_unclassified
BacV5_Otu_000887	194	k__Bacteria(100);p__Bacteroidetes(100);c__Cytophagia(100);o__Cytophagales(100);o__Cytophagales_unclassified(100);o__Cytophagales_unclassified(100);o__Cytophagales_unclassified(100);	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	o__Cytophagales_unclassified	o__Cytophagales_unclassified	o__Cytophagales_unclassified
BacV5_Otu_000888	194	k__Bacteria(100);p__Firmicutes(100);c__Clostridia(100);o__Clostridiales(100);f__Veillonellaceae(100);g__Veillonella(100);g__Veillonella_unclassified(100);	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Veillonella	g__Veillonella_unclassified
BacV5_Otu_000889	193	k__Bacteria(100);p__Firmicutes(100);c__Clostridia(100);o__Clostridiales(100);f__Clostridiaceae(100);g__Clostridium(88);g__Clostridium_unclassified(80);	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	g__Clostridium_unclassified
BacV5_Otu_000890	193	k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Xanthomonadales(100);f__Xanthomonadaceae(100);f__Xanthomonadaceae_unclassified(98);f__Xanthomonadaceae_unclassified(98);	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	f__Xanthomonadaceae_unclassified	f__Xanthomonadaceae_unclassified
BacV5_Otu_000892	193	k__Bacteria(100);p__Actinobacteria(100);c__Acidimicrobiia(100);o__Acidimicrobiales(100);o__Acidimicrobiales_unclassified(100);o__Acidimicrobiales_unclassified(100);o__Acidimicrobiales_unclassified(100);	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	o__Acidimicrobiales_unclassified	o__Acidimicrobiales_unclassified	o__Acidimicrobiales_unclassified
BacV5_Otu_000893	192	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhodospirillales(100);f__Acetobacteraceae(100);f__Acetobacteraceae_unclassified(100);f__Acetobacteraceae_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	f__Acetobacteraceae_unclassified	f__Acetobacteraceae_unclassified
BacV5_Otu_000895	192	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhodospirillales(100);f__Rhodospirillaceae(100);f__Rhodospirillaceae_unclassified(100);f__Rhodospirillaceae_unclassified(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	f__Rhodospirillaceae_unclassified	f__Rhodospirillaceae_unclassified
BacV5_Otu_000897	192	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(98);o__Rhizobiales_unclassified(98);o__Rhizobiales_unclassified(98);o__Rhizobiales_unclassified(98);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified
BacV5_Otu_000898	192	k__Bacteria(100);p__Bacteroidetes(100);c__Flavobacteriia(100);o__Flavobacteriales(100);f__Flavobacteriaceae(100);g__Flavobacterium(79);g__Flavobacterium_unclassified(79);	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	g__Flavobacterium_unclassified
BacV5_Otu_000899	192	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__asaccharolytica(100);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__asaccharolytica
