Ftrad_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
Ftrad_Otu_00974	62	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Pleurotaceae(100);g__PleurFtrad_Otu_s(100);g__PleurFtrad_Otu_s_unclassified(89);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Pleurotaceae	g__PleurFtrad_Otu_s	g__PleurFtrad_Otu_s_unclassified
Ftrad_Otu_00975	62	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Auriculariales(100);f__unclassified_Auriculariales(100);g__unclassified_Auriculariales(100);s__Auriculariales_sp(100);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__unclassified_Auriculariales	g__unclassified_Auriculariales	s__Auriculariales_sp
Ftrad_Otu_00976	62	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(94);g__Bullera(94);s__Bullera_crocea(94);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleraceae	g__Bullera	s__Bullera_crocea
Ftrad_Otu_00977	62	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Microascales(100);f__Microascaceae(100);g__Parascedosporium(100);g__Parascedosporium_unclassified(100);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Parascedosporium	g__Parascedosporium_unclassified
Ftrad_Otu_00978	61	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(82);g__Bullera(82);s__Bullera_crocea(82);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleraceae	g__Bullera	s__Bullera_crocea
Ftrad_Otu_00979	61	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(51);g__Bullera(51);s__Bullera_crocea(51);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleraceae	g__Bullera	s__Bullera_crocea
Ftrad_Otu_00980	61	k__Fungi(100);p__Ascomycota(100);c__Arthoniomycetes(100);o__Lichenostigmatales(100);f__Phaeococcomycetaceae(100);g__Phaeococcomyces(100);s__Phaeococcomyces_eucalypti(100);	k__Fungi	p__Ascomycota	c__Arthoniomycetes	o__Lichenostigmatales	f__Phaeococcomycetaceae	g__Phaeococcomyces	s__Phaeococcomyces_eucalypti
Ftrad_Otu_00982	61	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Hypocreales_fam_Incertae_sedis(100);g__Sarocladium(100);s__Sarocladium_bactrocephalum(99);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Sarocladium	s__Sarocladium_bactrocephalum
Ftrad_Otu_00983	61	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(94);g__Bullera(94);s__Bullera_crocea(94);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleraceae	g__Bullera	s__Bullera_crocea
Ftrad_Otu_00985	60	k__Fungi(100);p__Basidiomycota(100);p__Basidiomycota_unclassified(100);p__Basidiomycota_unclassified(100);p__Basidiomycota_unclassified(100);p__Basidiomycota_unclassified(100);p__Basidiomycota_unclassified(100);	k__Fungi	p__Basidiomycota	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified
