Otrad_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
Otrad_Otu_00069	1726	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;o__Pythiales_unclassified;o__Pythiales_unclassified;o__Pythiales_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	o__Pythiales_unclassified	o__Pythiales_unclassified	o__Pythiales_unclassified
Otrad_Otu_00070	1631	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Globisporangium	s__Globisporangium_sp
Otrad_Otu_00071	1586	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora_parasitica;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_parasitica
Otrad_Otu_00072	1571	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;g__Pythium_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	g__Pythium_unclassified
Otrad_Otu_00074	1548	k__Stramenopila;p__Oomycota;c__Oomycetes;c__Oomycetes_unclassified;c__Oomycetes_unclassified;c__Oomycetes_unclassified;c__Oomycetes_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	c__Oomycetes_unclassified	c__Oomycetes_unclassified	c__Oomycetes_unclassified	c__Oomycetes_unclassified
Otrad_Otu_00075	1481	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_ficariae;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_ficariae
Otrad_Otu_00077	1430	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Peronospora;g__Peronospora_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Peronospora	g__Peronospora_unclassified
Otrad_Otu_00079	1380	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_sp
Otrad_Otu_00080	1266	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Acidea;s__Acidea_extrema;	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Acidea	s__Acidea_extrema
Otrad_Otu_00081	1253	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__unclassified_Rhizophydiales;g__unclassified_Rhizophydiales;s__Rhizophydiales_sp;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__unclassified_Rhizophydiales	g__unclassified_Rhizophydiales	s__Rhizophydiales_sp
Otrad_Otu_00083	1209	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Peronospora;g__Peronospora_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Peronospora	g__Peronospora_unclassified
Otrad_Otu_00084	1086	k__Fungi;p__Basidiomycota;p__Basidiomycota_unclassified;p__Basidiomycota_unclassified;p__Basidiomycota_unclassified;p__Basidiomycota_unclassified;p__Basidiomycota_unclassified;	k__Fungi	p__Basidiomycota	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified
