"Flowcell"	"Run"	"Replicate"	"Ecotype"	"Year"	"mon"	"Day"	"Experiment"	"Month"	"Combi"	"label"
6	"F"	"S212"	"W"	2016	11	15	3	"Nov"	"Nov3W"	0.03
6	"F"	"S230"	"W"	2017	1	15	3	"Jan"	"Jan3W"	0.03
6	"F"	"S231"	"C"	2015	1	15	1	"Jan"	"Jan1C"	0.03
6	"F"	"S232"	"C"	2017	1	15	3	"Jan"	"Jan3C"	0.03
6	"F"	"S234"	"C"	2017	1	15	3	"Jan"	"Jan3C"	0.03
6	"F"	"S235"	"K"	2017	1	15	3	"Jan"	"Jan3K"	0.03
6	"F"	"S236"	"K"	2017	1	15	3	"Jan"	"Jan3K"	0.03
6	"F"	"S237"	"K"	2017	1	15	3	"Jan"	"Jan3K"	0.03
6	"F"	"S238"	"K"	2017	1	15	3	"Jan"	"Jan3K"	0.03
6	"F"	"S239"	"S"	2017	1	15	3	"Jan"	"Jan3S"	0.03
6	"F"	"S213"	"W"	2016	11	15	3	"Nov"	"Nov3W"	0.03
6	"F"	"S240"	"S"	2017	1	15	3	"Jan"	"Jan3S"	0.03
6	"F"	"S241"	"S"	2017	1	15	3	"Jan"	"Jan3S"	0.03
6	"F"	"S242"	"S"	2017	1	15	3	"Jan"	"Jan3S"	0.03
6	"F"	"S243"	"W"	2014	12	17	1	"Dec"	"Dec1W"	0.03
6	"F"	"S244"	"W"	2014	12	17	1	"Dec"	"Dec1W"	0.03
6	"F"	"S245"	"W"	2014	12	17	1	"Dec"	"Dec1W"	0.03
6	"F"	"S246"	"W"	2014	12	17	1	"Dec"	"Dec1W"	0.03
6	"F"	"S247"	"C"	2014	12	17	1	"Dec"	"Dec1C"	0.03
6	"F"	"S248"	"C"	2014	12	17	1	"Dec"	"Dec1C"	0.03
6	"F"	"S249"	"C"	2014	12	17	1	"Dec"	"Dec1C"	0.03
6	"F"	"S214"	"W"	2016	11	15	3	"Nov"	"Nov3W"	0.03
6	"F"	"S250"	"K"	2014	12	17	1	"Dec"	"Dec1K"	0.03
6	"F"	"S251"	"K"	2015	11	18	2	"Nov"	"Nov2K"	0.03
6	"F"	"S252"	"K"	2015	11	18	2	"Nov"	"Nov2K"	0.03
6	"F"	"S253"	"S"	2014	12	17	1	"Dec"	"Dec1S"	0.03
6	"F"	"S254"	"S"	2014	12	17	1	"Dec"	"Dec1S"	0.03
6	"F"	"S255"	"S"	2014	12	17	1	"Dec"	"Dec1S"	0.03
6	"F"	"S256"	"S"	2014	12	17	1	"Dec"	"Dec1S"	0.03
6	"F"	"S257"	"S"	2016	3	24	2	"Mar"	"Ma2S"	0.03
6	"F"	"S215"	"C"	2014	11	18	1	"Nov"	"Nov1C"	0.03
6	"F"	"S216"	"C"	2016	11	15	3	"Nov"	"Nov3C"	0.03
6	"F"	"S217"	"C"	2016	11	15	3	"Nov"	"Nov3C"	0.03
6	"F"	"S218"	"C"	2016	11	15	3	"Nov"	"Nov3C"	0.03
6	"F"	"S219"	"K"	2016	11	15	3	"Nov"	"Nov3K"	0.03
