"SUID","0.001_ 11_corsparcc.txt_present","0.001_ 12_corsparcc.txt(1)_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"143743","true","true","0.4785714285714286","33.5","70","BacV5_Otu_000236","false","BacV5_Otu_000236"
"143744","true","true","0.44662921348314605","79.5","178","BacV5_Otu_000243","false","BacV5_Otu_000243"
"143745","true","true","0.4962121212121212","65.5","132","BacV5_Otu_000250","false","BacV5_Otu_000250"
"143746","true","true","0.4885057471264368","42.5","87","BacV5_Otu_000251","false","BacV5_Otu_000251"
"143747","true","true","0.4606299212598426","58.50000000000001","127","BacV5_Otu_000309","false","BacV5_Otu_000309"
"143748","true","false","0.49999999999999994","57.99999999999999","116","BacV5_Otu_000371","false","BacV5_Otu_000371"
"143749","true","false","0.5","68.0","136","BacV5_Otu_000377","false","BacV5_Otu_000377"
"143750","true","false","0.5","54.0","108","BacV5_Otu_000402","false","BacV5_Otu_000402"
"143751","true","false","0.49999999999999994","52.49999999999999","105","BacV5_Otu_000412","false","BacV5_Otu_000412"
"143752","true","true","0.4574468085106383","64.5","141","BacV5_Otu_000424","false","BacV5_Otu_000424"
"143753","true","false","0.49999999999999994","44.49999999999999","89","BacV5_Otu_000427","false","BacV5_Otu_000427"
"143754","true","true","0.45454545454545464","40.00000000000001","88","BacV5_Otu_000498","false","BacV5_Otu_000498"
"143755","true","false","0.5","63.0","126","BacV5_Otu_000561","false","BacV5_Otu_000561"
"143756","true","false","0.5000000000000001","14.000000000000002","28","BacV5_Otu_000574","false","BacV5_Otu_000574"
"143757","true","false","0.49999999999999994","29.499999999999996","59","BacV5_Otu_000624","false","BacV5_Otu_000624"
"143758","true","false","0.5000000000000001","53.50000000000001","107","BacV5_Otu_000665","false","BacV5_Otu_000665"
"143759","true","false","0.5","32.0","64","BacV5_Otu_000866","false","BacV5_Otu_000866"
"143760","true","false","0.5","45.5","91","BacV5_Otu_000888","false","BacV5_Otu_000888"
"143761","true","true","0.4495798319327731","107.0","238","Ftrad_Otu_00003","false","Ftrad_Otu_00003"
"143762","true","true","0.4456521739130435","61.50000000000001","138","Ftrad_Otu_00004","false","Ftrad_Otu_00004"
"143763","true","true","0.43956043956043966","40.00000000000001","91","Ftrad_Otu_00005","false","Ftrad_Otu_00005"
"143764","true","true","0.4613526570048309","95.5","207","Ftrad_Otu_00006","false","Ftrad_Otu_00006"
"143765","true","true","0.4587378640776699","94.5","206","Ftrad_Otu_00008","false","Ftrad_Otu_00008"
"143766","true","true","0.45258620689655166","52.49999999999999","116","Ftrad_Otu_00012","false","Ftrad_Otu_00012"
"143767","true","true","0.475609756097561","58.50000000000001","123","Ftrad_Otu_00013","false","Ftrad_Otu_00013"
"143768","true","true","0.46308724832214765","69.0","149","Ftrad_Otu_00030","false","Ftrad_Otu_00030"
"143769","true","true","0.4772727272727273","63.0","132","Ftrad_Otu_00037","false","Ftrad_Otu_00037"
"143770","true","true","0.471631205673759","66.50000000000001","141","Ftrad_Otu_00042","false","Ftrad_Otu_00042"
"143771","true","true","0.4864864864864864","35.99999999999999","74","Ftrad_Otu_00051","false","Ftrad_Otu_00051"
"143772","true","true","0.4457831325301205","111.0","249","Ftrad_Otu_00064","false","Ftrad_Otu_00064"
"143773","true","true","0.4943181818181819","43.50000000000001","88","Ftrad_Otu_00080","false","Ftrad_Otu_00080"
"143774","true","true","0.5","42.0","84","Ftrad_Otu_00088","false","Ftrad_Otu_00088"
"143775","true","true","0.4909090909090909","27.0","55","Ftrad_Otu_00099","false","Ftrad_Otu_00099"
"143776","true","true","0.4945652173913043","45.5","92","Ftrad_Otu_00131","false","Ftrad_Otu_00131"
"143777","true","true","0.46107784431137727","77.0","167","Ftrad_Otu_00134","false","Ftrad_Otu_00134"
"143778","true","true","0.4838709677419355","45.0","93","Ftrad_Otu_00136","false","Ftrad_Otu_00136"
"143779","true","false","0.5","50.0","100","Ftrad_Otu_00171","false","Ftrad_Otu_00171"
"143780","true","true","0.4885057471264368","42.5","87","Ftrad_Otu_00202","false","Ftrad_Otu_00202"
"143781","true","true","0.45618556701030927","88.5","194","Ftrad_Otu_00233","false","Ftrad_Otu_00233"
"143782","true","false","0.5","27.0","54","Ftrad_Otu_00238","false","Ftrad_Otu_00238"
"143783","true","false","0.4999999999999999","36.49999999999999","73","Ftrad_Otu_00243","false","Ftrad_Otu_00243"
"143784","true","false","0.5000000000000001","7.500000000000001","15","Ftrad_Otu_00279","false","Ftrad_Otu_00279"
"143785","true","false","0.5000000000000001","56.00000000000001","112","Otrad_Otu_00012","false","Otrad_Otu_00012"
"143786","true","true","0.48387096774193555","90.00000000000001","186","BacV5_Otu_000027","false","BacV5_Otu_000027"
"143787","true","true","0.46551724137931033","67.5","145","BacV5_Otu_000033","false","BacV5_Otu_000033"
"143788","true","true","0.44919786096256686","84.0","187","BacV5_Otu_000043","false","BacV5_Otu_000043"
"143789","true","true","0.46153846153846156","18.0","39","BacV5_Otu_000045","false","BacV5_Otu_000045"
"143790","true","true","0.4731182795698925","44.0","93","BacV5_Otu_000122","false","BacV5_Otu_000122"
"143791","true","true","0.4903846153846155","25.500000000000004","52","BacV5_Otu_000130","false","BacV5_Otu_000130"
"143792","true","true","0.49999999999999994","11.499999999999998","23","BacV5_Otu_000144","false","BacV5_Otu_000144"
"143793","true","true","0.49999999999999994","12.999999999999998","26","Ftrad_Otu_00024","false","Ftrad_Otu_00024"
"143794","true","true","0.4903846153846155","25.500000000000004","52","BacV5_Otu_000097","false","BacV5_Otu_000097"
"143795","true","true","0.4883720930232558","21.0","43","BacV5_Otu_000105","false","BacV5_Otu_000105"
"143796","true","true","0.44166666666666665","26.5","60","BacV5_Otu_000132","false","BacV5_Otu_000132"
"143797","true","true","0.4999999999999999","35.99999999999999","72","BacV5_Otu_000133","false","BacV5_Otu_000133"
"143798","true","true","0.465","46.5","100","BacV5_Otu_000147","false","BacV5_Otu_000147"
"143799","true","true","0.4722222222222222","34.0","72","BacV5_Otu_000167","false","BacV5_Otu_000167"
"143800","true","true","0.5","54.0","108","BacV5_Otu_000189","false","BacV5_Otu_000189"
"143801","true","false","0.5","21.0","42","BacV5_Otu_000192","false","BacV5_Otu_000192"
"143802","true","true","0.45751633986928103","70.0","153","BacV5_Otu_000241","false","BacV5_Otu_000241"
"143803","true","false","0.49999999999999994","21.499999999999996","43","BacV5_Otu_000257","false","BacV5_Otu_000257"
"143804","true","true","0.48290598290598297","56.50000000000001","117","BacV5_Otu_000301","false","BacV5_Otu_000301"
"143805","true","false","0.5000000000000001","20.000000000000004","40","BacV5_Otu_000425","false","BacV5_Otu_000425"
"143806","true","false","0.5","33.5","67","BacV5_Otu_000445","false","BacV5_Otu_000445"
"143807","true","false","0.5000000000000001","31.500000000000004","63","BacV5_Otu_000495","false","BacV5_Otu_000495"
"143808","true","false","0.5","10.5","21","BacV5_Otu_000615","false","BacV5_Otu_000615"
"143809","true","false","0.5000000000000001","25.000000000000004","50","BacV5_Otu_000622","false","BacV5_Otu_000622"
"143810","true","false","0.5","7.0","14","BacV5_Otu_000812","false","BacV5_Otu_000812"
"143811","true","true","0.48823529411764705","41.5","85","Ftrad_Otu_00029","false","Ftrad_Otu_00029"
"143812","true","true","0.5","41.5","83","Ftrad_Otu_00087","false","Ftrad_Otu_00087"
"143813","true","true","0.48046875000000006","61.50000000000001","128","Ftrad_Otu_00125","false","Ftrad_Otu_00125"
"143814","true","false","0.5","8.0","16","Ftrad_Otu_00138","false","Ftrad_Otu_00138"
"143815","true","true","0.4583333333333333","60.5","132","BacV5_Otu_000022","false","BacV5_Otu_000022"
"143816","true","true","0.4575471698113207","48.49999999999999","106","BacV5_Otu_000044","false","BacV5_Otu_000044"
"143817","true","false","0.5","37.0","74","BacV5_Otu_000051","false","BacV5_Otu_000051"
"143818","true","true","0.4571428571428571","47.99999999999999","105","BacV5_Otu_000062","false","BacV5_Otu_000062"
"143819","true","true","0.45260663507109006","95.5","211","BacV5_Otu_000063","false","BacV5_Otu_000063"
"143820","true","true","0.4575471698113207","48.49999999999999","106","BacV5_Otu_000083","false","BacV5_Otu_000083"
"143821","true","true","0.4601449275362318","63.49999999999999","138","BacV5_Otu_000170","false","BacV5_Otu_000170"
"143822","true","true","0.4924242424242423","32.49999999999999","66","BacV5_Otu_000284","false","BacV5_Otu_000284"
"143823","true","true","0.4707792207792208","72.5","154","BacV5_Otu_000305","false","BacV5_Otu_000305"
"143824","true","false","0.5","45.0","90","BacV5_Otu_000353","false","BacV5_Otu_000353"
"143825","true","false","0.5000000000000001","25.000000000000004","50","BacV5_Otu_000354","false","BacV5_Otu_000354"
"143826","true","false","0.5000000000000001","37.50000000000001","75","BacV5_Otu_000384","false","BacV5_Otu_000384"
"143827","true","false","0.5000000000000001","38.00000000000001","76","BacV5_Otu_000397","false","BacV5_Otu_000397"
"143828","true","false","0.5","42.5","85","BacV5_Otu_000401","false","BacV5_Otu_000401"
"143829","true","false","0.49999999999999994","14.499999999999998","29","BacV5_Otu_000950","false","BacV5_Otu_000950"
"143830","true","true","0.45604395604395603","41.5","91","Ftrad_Otu_00011","false","Ftrad_Otu_00011"
"143831","true","true","0.4400000000000001","33.00000000000001","75","Ftrad_Otu_00018","false","Ftrad_Otu_00018"
"143832","true","true","0.49999999999999994","15.499999999999998","31","Ftrad_Otu_00022","false","Ftrad_Otu_00022"
"143833","true","true","0.4814814814814814","25.999999999999996","54","Ftrad_Otu_00031","false","Ftrad_Otu_00031"
"143834","true","true","0.5","16.5","33","Ftrad_Otu_00032","false","Ftrad_Otu_00032"
"143835","true","true","0.4687500000000001","37.50000000000001","80","Ftrad_Otu_00036","false","Ftrad_Otu_00036"
