"SUID","0.001_ 12_corsparcc.txt(1)_present","0.001_ 1_corsparcc.txt_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"103664","true","false","0.5","0.5","1","BacV5_Otu_000564","false","BacV5_Otu_000564"
"103665","true","false","0.5","2.0","4","Ftrad_Otu_00280","false","Ftrad_Otu_00280"
"103666","true","true","0.5000000000000001","5.000000000000001","10","Ftrad_Otu_00033","false","Ftrad_Otu_00033"
"103667","true","true","0.5000000000000001","5.000000000000001","10","Ftrad_Otu_00087","false","Ftrad_Otu_00087"
"103668","true","false","0.5","0.5","1","Ftrad_Otu_00360","false","Ftrad_Otu_00360"
"103669","true","true","0.46875","15.0","32","Ftrad_Otu_00132","false","Ftrad_Otu_00132"
"103670","true","true","0.5","54.0","108","Ftrad_Otu_00057","false","Ftrad_Otu_00057"
"103671","true","true","0.48823529411764705","41.5","85","Ftrad_Otu_00109","false","Ftrad_Otu_00109"
"103672","true","true","0.49115044247787604","55.49999999999999","113","Ftrad_Otu_00099","false","Ftrad_Otu_00099"
"103673","true","true","0.4954954954954955","55.0","111","Ftrad_Otu_00023","false","Ftrad_Otu_00023"
"103674","true","false","0.5000000000000001","1.0000000000000002","2","Ftrad_Otu_00102","false","Ftrad_Otu_00102"
"103675","true","false","0.5","2.0","4","Ftrad_Otu_00180","false","Ftrad_Otu_00180"
"103676","true","false","0.5","2.0","4","Ftrad_Otu_00251","false","Ftrad_Otu_00251"
"103677","true","false","0.49999999999999994","2.9999999999999996","6","Ftrad_Otu_00354","false","Ftrad_Otu_00354"
"103678","true","false","0.5000000000000001","1.0000000000000002","2","Ftrad_Otu_00200","false","Ftrad_Otu_00200"
"103679","true","false","0.5","0.5","1","Ftrad_Otu_00224","false","Ftrad_Otu_00224"
"103680","true","false","0.5","0.5","1","Ftrad_Otu_00336","false","Ftrad_Otu_00336"
"103681","true","true","0.5","12.5","25","Ftrad_Otu_00152","false","Ftrad_Otu_00152"
"103682","true","false","0.5000000000000001","1.0000000000000002","2","Ftrad_Otu_00307","false","Ftrad_Otu_00307"
