"SUID","0.001_ 2_corsparcc.txt(1)_Cor","0.001_ 2_corsparcc.txt(1)_name","0.001_ 2_corsparcc.txt(1)_present","0.001_ 2_corsparcc.txt(1)_Pvalue","0.001_ 3_corsparcc.txt(1)_Cor","0.001_ 3_corsparcc.txt(1)_name","0.001_ 3_corsparcc.txt(1)_present","0.001_ 3_corsparcc.txt(1)_Pvalue","DyNet Variance","interaction","name","selected","shared interaction","shared name"
"45660","-0.416641870275","Ftrad_Otu_00075 (interacts with) BacV5_Otu_000096","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00075 (interacts with) BacV5_Otu_000096","false","interacts with","Ftrad_Otu_00075 (interacts with) BacV5_Otu_000096"
"45661","-0.448389432331","Ftrad_Otu_00032 (interacts with) Ftrad_Otu_00020","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00032 (interacts with) Ftrad_Otu_00020","false","interacts with","Ftrad_Otu_00032 (interacts with) Ftrad_Otu_00020"
"45662","-0.473680719431","Ftrad_Otu_00032 (interacts with) Ftrad_Otu_00016","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00032 (interacts with) Ftrad_Otu_00016","false","interacts with","Ftrad_Otu_00032 (interacts with) Ftrad_Otu_00016"
"45663","0.560803106967","Ftrad_Otu_00032 (interacts with) Ftrad_Otu_00005","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00032 (interacts with) Ftrad_Otu_00005","false","interacts with","Ftrad_Otu_00032 (interacts with) Ftrad_Otu_00005"
"45664","-0.412494308588","Ftrad_Otu_00032 (interacts with) BacV5_Otu_000129","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00032 (interacts with) BacV5_Otu_000129","false","interacts with","Ftrad_Otu_00032 (interacts with) BacV5_Otu_000129"
"45665","-0.448228001191","Ftrad_Otu_00032 (interacts with) BacV5_Otu_000096","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00032 (interacts with) BacV5_Otu_000096","false","interacts with","Ftrad_Otu_00032 (interacts with) BacV5_Otu_000096"
"45666","0.389513693708","Otrad_Otu_00008 (interacts with) Ftrad_Otu_00055","true","0.001",,,"false",,"0.5","interacts with","Otrad_Otu_00008 (interacts with) Ftrad_Otu_00055","false","interacts with","Otrad_Otu_00008 (interacts with) Ftrad_Otu_00055"
"45667","0.427483554701","Otrad_Otu_00008 (interacts with) Ftrad_Otu_00031","true","0.001",,,"false",,"0.5","interacts with","Otrad_Otu_00008 (interacts with) Ftrad_Otu_00031","false","interacts with","Otrad_Otu_00008 (interacts with) Ftrad_Otu_00031"
"45668","-0.37314098145","Otrad_Otu_00008 (interacts with) BacV5_Otu_000143","true","0.001",,,"false",,"0.5","interacts with","Otrad_Otu_00008 (interacts with) BacV5_Otu_000143","false","interacts with","Otrad_Otu_00008 (interacts with) BacV5_Otu_000143"
"45669","-0.356660689391","Otrad_Otu_00008 (interacts with) BacV5_Otu_000095","true","0.0",,,"false",,"0.5","interacts with","Otrad_Otu_00008 (interacts with) BacV5_Otu_000095","false","interacts with","Otrad_Otu_00008 (interacts with) BacV5_Otu_000095"
