"SUID","0.001_ 1_corsparcc.txt_Cor","0.001_ 1_corsparcc.txt_name","0.001_ 1_corsparcc.txt_present","0.001_ 1_corsparcc.txt_Pvalue","0.001_ 2_corsparcc.txt(1)_Cor","0.001_ 2_corsparcc.txt(1)_name","0.001_ 2_corsparcc.txt(1)_present","0.001_ 2_corsparcc.txt(1)_Pvalue","DyNet Variance","interaction","name","selected","shared interaction","shared name"
"51981",,,"false",,"0.414787992583","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000067","true","0.0","0.5","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000067","false","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000067"
"51982",,,"false",,"-0.330561475754","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000084","true","0.001","0.5","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000084","false","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000084"
"51983",,,"false",,"-0.372396774772","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000201","true","0.001","0.5","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000201","false","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000201"
"51984",,,"false",,"-0.348491916107","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000242","true","0.001","0.5","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000242","false","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000242"
"51985",,,"false",,"-0.365865967217","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000305","true","0.0","0.5","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000305","false","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000305"
"51986",,,"false",,"-0.372451969086","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000334","true","0.0","0.5","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000334","false","interacts with","Ftrad_Otu_00141 (interacts with) BacV5_Otu_000334"
"51987",,,"false",,"-0.459861700614","Ftrad_Otu_00141 (interacts with) Ftrad_Otu_00049","true","0.0","0.5","interacts with","Ftrad_Otu_00141 (interacts with) Ftrad_Otu_00049","false","interacts with","Ftrad_Otu_00141 (interacts with) Ftrad_Otu_00049"
"51988",,,"false",,"0.447637015746","Ftrad_Otu_00141 (interacts with) Ftrad_Otu_00124","true","0.0","0.5","interacts with","Ftrad_Otu_00141 (interacts with) Ftrad_Otu_00124","false","interacts with","Ftrad_Otu_00141 (interacts with) Ftrad_Otu_00124"
"51989",,,"false",,"0.384238985328","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000009","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000009","false","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000009"
"51990",,,"false",,"0.451328951335","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000017","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000017","false","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000017"
"51991",,,"false",,"0.419657371515","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000022","true","0.001","0.5","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000022","false","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000022"
"51992",,,"false",,"-0.423846501061","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000092","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000092","false","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000092"
"51993",,,"false",,"-0.376957292184","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000143","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000143","false","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000143"
"51994",,,"false",,"-0.300073424577","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000170","true","0.001","0.5","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000170","false","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000170"
"51995",,,"false",,"0.439094005259","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000191","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000191","false","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000191"
"51996",,,"false",,"0.390875867098","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000225","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000225","false","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000225"
"51997",,,"false",,"-0.404028084396","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000268","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000268","false","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000268"
"51998",,,"false",,"0.378728598849","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000415","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000415","false","interacts with","Ftrad_Otu_00137 (interacts with) BacV5_Otu_000415"
"51999",,,"false",,"0.384884307543","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00010","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00010","false","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00010"
"52000",,,"false",,"0.424309594641","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00031","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00031","false","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00031"
"52001",,,"false",,"0.469804681536","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00040","true","0.0","0.5","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00040","false","interacts with","Ftrad_Otu_00137 (interacts with) Ftrad_Otu_00040"
